Calle Gran Vía, 28, 28013 Madrid, Madrid
Passeig de Gràcia, 32, 08007 Barcelona, Barcelona
Avenida de la Constitución, 4, 41001 Sevilla, Sevilla
Plaza Mayor, 1, 28012 Madrid, Madrid
Calle Larios, 12, 29005 Málaga, Málaga
Plaza de Zocodover, 5, 45001 Toledo, Toledo
Avenida de la Libertad, 15, 20004 San Sebastián, Gipuzkoa
Calle Alfonso I, 3, 50003 Zaragoza, Zaragoza
Plaza de María Pita, 7, 15001 A Coruña, A Coruña
Calle de la Estafeta, 10, 31001 Pamplona, Navarra
Plaza del Obradoiro, 1, 15705 Santiago de Compostela, A Coruña
Plaza de España, 2, 41013 Sevilla, Sevilla
Avenida del Puerto, 3, 46021 Valencia, Valencia
Calle Ancha, 8, 11001 Cádiz, Cádiz
Plaza de Cervantes, 12, 28801 Alcalá de Henares, Madrid
Plaza Mayor, 15, 37002 Salamanca, Salamanca
Paseo del Espolón, 18, 09003 Burgos, Burgos
Plaza Mayor, 8, 49004 Zamora, Zamora
Calle Mayor, 24, 24003 León, León
Plaza de la Corredera, 13, 14002 Córdoba, Córdoba
Paseo de Almería, 25, 04001 Almería, Almería
Plaza Mayor, 7, 02001 Albacete, Albacete
Calle Real, 30, 10003 Cáceres, Cáceres
Plaza Mayor, 10, 13001 Ciudad Real, Ciudad Real
Calle de Serrano, 52, 28001 Madrid, Madrid
Plaza Mayor, 3, 16001 Cuenca, Cuenca
Plaza de la Virgen Blanca, 5, 01001 Vitoria-Gasteiz, Álava
Paseo de la Castellana, 40, 28046 Madrid, Madrid
Plaza del Pilar, 1, 50003 Zaragoza, Zaragoza
Plaza de la Constitución, 8, 29005 Málaga, Málaga
Plaza Mayor, 14, 37002 Salamanca, Salamanca
Plaza de la Reina, 6, 46001 Valencia, Valencia
Calle de la Paz, 28, 46003 Valencia, Valencia
Plaza del Cid, 2, 09004 Burgos, Burgos
Plaza de la Marina Española, 9, 28071 Madrid, Madrid
Plaza Mayor, 1, 47001 Valladolid, Valladolid
Calle de la Princesa, 20, 28008 Madrid, Madrid
Plaza del Salvador, 1, 41004 Sevilla, Sevilla
Plaza de la Catedral, 1, 17004 Girona, Girona
Plaza del Mercado, 2, 26001 Logroño, La Rioja
Plaza Mayor, 1, 04001 Almería, Almería
Avenida de Andalucía, 35, 23006 Jaén, Jaén
Plaza Mayor, 1, 37002 Salamanca, Salamanca
Plaza de la Virgen Blanca, 2, 01001 Vitoria-Gasteiz, Álava
Paseo de la Independencia, 20, 50004 Zaragoza, Zaragoza
Calle Mayor, 30, 02001 Albacete, Albacete
Plaza Mayor, 5, 40001 Segovia, Segovia
Plaza de la Constitución, 6, 03001 Alicante, Alicante
Plaza de la Encarnación, 3, 41003 Sevilla, Sevilla
Plaza de la Cibeles, 1, 28014 Madrid, Madrid
Plaza de la Marina, 4, 29015 Málaga, Málaga
Plaza del Marqués, 1, 33201 Gijón, Asturias
Plaza de España, 1, 05001 Ávila, Ávila
Plaza de la Catedral, 2, 24003 León, León
Plaza Mayor, 2, 40001 Segovia, Segovia
Plaza de Zorrilla, 7, 47007 Valladolid, Valladolid
Plaza del Ayuntamiento, 1, 46002 Valencia, Valencia
Plaza de San Francisco, 1, 41004 Sevilla, Sevilla
Plaza de las Tendillas, 4, 14002 Córdoba, Córdoba
Plaza Mayor, 4, 50001 Zaragoza, Zaragoza
Plaza Mayor, 6, 45001 Toledo, Toledo
Plaza Mayor, 1, 47001 Valladolid, Valladolid
Calle San Vicente, 44, 46002 Valencia, Valencia
Calle de Alcalá, 15, 28014 Madrid, Madrid
